Source,MT,MTPE,MQMScore,LLM_MQM_gemba_mqm,LLM_MQM_ea_prompt
"So, you also want to define smoothness in this area.","그래서, 이 영역에서도 부드러움을 정의하고 싶어요.",이 영역에서도 부드러움을 정의해야 할 겁니다.,74,99.0,88.0
So if I want this and let's say...,"그래서 내가 이걸 원하고, 가정해보면...",제가 이걸 원한다고 가정해 봅시다.,95,74.0,86.0
Let's not use this honestly.,솔직히 이건 사용하지 말아요.,이건 사용하지 말아봅시다.,99,99.0,88.0
Let's use a better one that actually makes sense.,실제로 감각이 있는 더 좋은 걸 사용해 봅시다.,좀 더 괜찮은 예시를 사용해 봅시다.,75,70.0,88.0
Let's say this.,이걸로 해봅시다.,이걸로 해봅시다.,100,100.0,100.0
"Let's say I want the fingers to be longer and kind of sharp. So what you might be tempted to do is do just do this, which kind of works.","손가락을 더 길고 약간 날카롭게 만들고 싶다고 가정해봅시다. 그래서 여러분이 유혹받을 수 있는 건 그냥 이렇게 하는 거예요, 이게 어느 정도 효과가 있거든요.",손가락을 더 길고 날카롭게 하고 싶다고 가정했을 때 시도할 수 있는 것은 이것입니다.,70,98.0,88.0
It kind of works.,이게 어느 정도 효과가 있어요.,이 방법은 어느 정도 효과가 있습니다.,99,99.0,98.0
But what can I also also do is try pressing Shift+E and moving it.,하지만 제가 할 수 있는 또 다른 방법은 Shift+E를 눌러서 이동해보는 거예요.,제가 해 볼 수 있는 것은 Shift+E를 눌러서 움직여보는 것입니다.,99,74.0,88.0
You see how it changes?,어떻게 변하는지 보이시나요?,어떻게 변화하는지 보이시죠?,100,99.0,98.0
This basically tells Blender that it shouldn't smooth this edge.,이건 기본적으로 블렌더에게 이 가장자리를 부드럽게 하지 말라고 말하는 거예요.,이것은 Blender에게 이 가장자리를 부드럽게 하지 말아야 한다고 알려줍니다.,94,99.0,98.0
"So when you Shift+E this, this looks pretty ugly, but you get what I mean.","그래서 여러분이 Shift+E를 하면, 이건 꽤 못생겨 보이지만, 제가 무슨 뜻인지 아시겠죠.","Shift+E를 하시면 보기 싫지만, 무슨 뜻인지는 아시겠죠.",94,94.0,98.0
Let's see it in a better context.,더 나은 맥락에서 보도록 해요.,좀 더 나은 맥락에서 보도록 합시다.,99,99.0,98.0
"This is a better way to see it, honestly.","솔직히 말해서, 이게 더 나은 방법으로 보는 거예요.",이게 방법이 더 잘 보이네요.,75,74.0,88.0
"So, you see here if you sharpen it, it kind of like it doesn't smoothen it out now, but it still is smoother this way.","그러니까 여기서 보시면, 날카롭게 하면 지금은 부드럽게 되지는 않지만, 이렇게 하면 여전히 더 부드럽게 느껴져요.","그래서 여기서 보시면, 날카롭게 하면 부드럽게 되지는 않지만 이 부분은 여전히 부드럽습니다.",74,94.0,88.0
"It is kind of smooth this way, but it's not smooth anymore going this way.","이렇게 하면 어느 정도 부드럽긴 하지만, 이렇게 가면 더 이상 부드럽지 않아요.",이 부분은 부드럽지만 이 방향으로는 부드럽지 않습니다.,74,99.0,88.0
"Going this way, the edge like here.","이쪽으로 가면, 여기 가장자리가 있어요.","이 방향으로 가면, 가장자리가 보이세요?",100,74.0,88.0
This is also something you define with topology.,이건 토폴로지로 정의하는 또 다른 것이기도 해요.,이것은 또한 Topology로 정의하는 것입니다.,94,98.0,88.0
So we'll return this back to normal for now.,그래서 우리는 일단 이걸 노말로 되돌릴 거예요.,지금은 이걸 Normal로 되돌리겠습니다.,98,94.0,88.0
"Whatever, let let it look ugly if it's ugly. But okay.","뭐 어쨌든, 못생겼다면 못생겼다고 두세요. 하지만 알겠어요.",그냥 못생긴 대로 두세요.,70,74.0,88.0
"Honestly, that's it.","솔직히, 그게 전부예요.",이게 전부입니다.,99,99.0,98.0
"As long as you communicate what the aspects of the things that you want to communicate is, that can work for your topology.","당신이 전달하고자 하는 것의 측면을 잘 전달하기만 하면, 그게 당신의 토폴로지에 맞게 작동할 수 있어요.",전달하고자 하는 측면을 잘 소통할 수 있다면 Topology에 도움이 될 수 있습니다.,93,94.0,88.0
"Also, this thumb is bothering me.","또한, 이 엄지가 저를 괴롭히고 있어요.",이 엄지가 참 거슬리네요.,75,74.0,88.0
It's not right.,이건 맞지 않아요.,이건 옳지 않아요.,95,95.0,98.0
"It feels nice, right? This part, this works out.","기분이 좋죠, 맞나요? 이 부위는 잘 작동해요.",여기를 잘 고치면 기분이 좋지 않겠어요?,75,74.0,78.0
But how it attaches feels lacking.,하지만 붙는 방식이 부족하게 느껴져요.,연결이 부자연스러운 느낌입니다.,74,74.0,88.0
"Because of this one, yeah.","이거 때문이죠, 맞아요.","이것 때문이죠, 맞아요.",100,99.0,98.0
"Because the thumb is a little bit fat, right?","엄지가 조금 두껍잖아요, 맞죠?","엄지가 조금 두껍죠, 맞죠?",100,99.0,98.0
A little bit fat.,조금 두꺼워요.,조금 두껍습니다.,99,99.0,98.0
A little bit fat.,조금 두꺼워요.,조금 두껍습니다.,99,99.0,98.0
"Well, if you want to communicate the fat we can.","음, 두꺼움을 전달하고 싶다면 그렇게 할 수 있어요.",두꺼운 부분을 전달하고 싶다면 그렇게 할 수 있습니다.,99,74.0,88.0
"Actually, maybe that's a good example.","사실, 아마 그게 좋은 예시일 거예요.",좋은 예시일 수도 있겠네요.,100,99.0,98.0
Want to communicate that there's fat area here.,여기 두꺼운 영역이 있다는 걸 전달하고 싶어요.,여기에 두꺼운 영역이 있다는 것을 전달하고 싶습니다.,99,99.0,98.0
So we'll use topology to...,그래서 우리는 토폴로지를 사용해서...,Topology를 사용할 겁니다.,99,74.0,88.0
"Also, I'll delete this because these kind of go into the hand.","또한, 저는 이걸 삭제할 거예요. 왜냐하면 이게 손 안으로 들어가거든요.","또한, 이걸 삭제할 것입니다. 왜냐하면 이 부분은 손목으로 이어지기 때문입니다.",94,74.0,88.0
These kind of go into the hand so they don't really matter as much.,이건 손 안으로 들어가니까 그렇게 중요하지 않아요.,여기는 손목으로 이어지기 때문에 별로 중요하지 않습니다.,94,74.0,88.0
So we just shape it and shape it.,그래서 우리는 그냥 형태를 만들고 또 만들어요.,그래서 우리는 그냥 형태를 만들고 또 형태를 만듭니다.,99,99.0,98.0
This is where your artistic decisions matter.,이곳이 여러분의 예술적인 결정이 중요한 부분이에요.,여기서 여러분의 미적 결정이 중요합니다.,94,94.0,86.0
Just shape it.,그냥 형태를 만들어주세요.,그냥 형태를 만드세요.,100,99.0,98.0
"Now that we have this a pudgy here there's also a bit of a pudgy here that we see, and there's a little bit of pudgy here.","이제 여기 약간 두꺼운 부분이 있고, 여기에서도 약간 두꺼운 부분이 보이고, 여기에도 약간의 두꺼운 부분이 있어요.",이제 여기에서 약간 두꺼운 부분이 있고 여기에도 약간의 두꺼운 부분이 보이며 여기에도 약간의 두꺼운 부분이 있습니다.,99,99.0,98.0
"But, we're getting limited by our topology here.","하지만, 여기서 우리의 토폴로지에 의해 제한을 받고 있어요.","하지만, Topology에 의해 제한을 받고 있습니다.",93,98.0,96.0
So maybe we'll add maybe a retopo.,그래서 아마 리토포를 추가할 거예요.,그래서 Retopology를 추가할 것입니다.,98,94.0,96.0
What do you think?,어떻게 생각하세요?,어떻게 생각하시나요?,99,99.0,98.0
So we expand this and we make it smaller.,그래서 이걸 확장하고 더 작게 만들어요.,그래서 이걸 연장하고 가늘게 만듭니다.,94,49.0,80.0
"But, we know that this is a little bit sharp, so we add it like this, this, this.","하지만, 이게 조금 날카롭다는 걸 알기 때문에 이렇게, 이렇게, 이렇게 추가해요.","약간 날카로우니까 이렇게, 이렇게, 이렇게 추가합니다.",94,99.0,98.0
But the transition between the palm and the hand is a little bit sharper than this.,하지만 손바닥과 손 사이의 전환이 이보다 조금 더 날카로워요.,손바닥과 손목 사이의 전환은 이것보다 약간 더 날렵합니다.,99,74.0,86.0
now we're going to use an Add-on for this actually to smooth.,이제 우리는 사실 이걸 부드럽게 하기 위해 Add-on을 사용할 거예요.,이제 부드럽게 하기 위해 Add-on을 사용할 것입니다.,99,99.0,98.0
I want to smooth this out. But I want to use math to smooth it out.,이걸 부드럽게 하고 싶어요. 하지만 매트를 사용해서 부드럽게 하고 싶어요.,이걸 부드럽게 하고 싶은데 이때 저는 Math를 사용합니다.,94,74.0,88.0
"So I press this button Edit, which if you have default, then you won't have.","그래서 저는 이 Edit 버튼을 눌러요. 기본 설정이 있다면, 이 버튼은 없을 거예요.",그래서 이 Edit 버튼을 누릅니다. 기본 설정이라면 이 버튼은 없을 것입니다.,74,73.0,86.0
I'll put how to do it in the show notes.,어떻게 하는지 쇼 노트에 적어둘게요.,어떻게 하는지 강의 노트에 적어둘게요.,99,95.0,98.0
This is a default Blender Add-on.,이건 기본 블렌더 Add-on이에요.,이것은 기본 Blender Add-on입니다.,98,98.0,96.0
You just have to turn it on.,그냥 켜기만 하면 돼요.,그냥 활성화하면 됩니다.,98,94.0,98.0
"Yeah, just look in the show notes because I don't want to move the flow too much.","네, 쇼 노트를 확인하세요. 왜냐하면 흐름을 너무 많이 바꾸고 싶지 않거든요.",강의 흐름을 끊고 싶지 않기 때문에 강의 노트를 확인해 주세요.,94,69.0,86.0
So I press Relax.,그래서 저는 Relax를 눌러요.,Relax를 누릅니다.,99,99.0,98.0
"And with this, I want it to go to the hand.",그리고 이걸로 손으로 가기를 원해요.,그리고 여기서 손목으로 연결합니다.,70,74.0,88.0
"And I know that this is a little sharp, as I sharpened it.",그리고 제가 날카롭게 만들었기 때문에 이게 조금 날카롭다는 걸 알아요.,제가 아까 Sharpen 했기 때문에 이게 너무 날렵해졌어요.,94,69.0,88.0
Press Relax again to make it a little bit of a circle.,Relax를 다시 눌러서 조금 더 원형으로 만들어요.,Relax를 다시 눌러서 조금 더 원형으로 만듭니다.,99,99.0,98.0
"Wow, it's looking more and more of a hand.","와, 점점 더 손처럼 보이네요.","와, 점점 더 손처럼 보이네요.",100,100.0,100.0
Let's turn off the Face Sets.,Face Sets를 끄도록 해요.,Face Sets를 끄도록 합시다.,99,99.0,98.0
"I mean, it kind of looks like a hand.","제 말은, 손처럼 보이긴 해요.",점점 손처럼 보입니다.,99,99.0,98.0
So what else?,그럼 또 뭐가 있을까요?,그럼 또 무엇을 더 해야 할까요?,75,99.0,98.0
I guess let's prove more of the point by...,그럼... 포인트를 좀 더 증명해봅시다.,포인트를 조금 더 증명해 봅시다.,99,99.0,98.0
"I want to add bones, bony fingers.",뼈와 뼈가 있는 손가락을 추가하고 싶어요.,앙상한 손가락을 추가하고 싶습니다.,94,74.0,88.0
Why am I adding more?,왜 더 추가하고 있는 걸까요?,왜 더 추가하고 있죠?,99,99.0,98.0
This is taking too long.,이건 너무 오래 걸리고 있어요.,이건 너무 오래 걸리고 있습니다.,99,99.0,98.0
We won't be changing. I will be deleting this later.,우리는 변경하지 않을 거예요. 저는 이걸 나중에 삭제할 거예요.,바꾸지는 않고 나중에 이걸 삭제할 것입니다.,94,99.0,98.0
"So you can actually just add this to kind of represent the bones, and we'll...","그래서 실제로 이걸 추가해서 뼈를 나타낼 수 있고, 우리는...",이것을 추가해서 뼈를 표현하실 수 있어요.,99,74.0,88.0
Let's not add it.,추가하지 않기로 해요.,그냥 추가하지 맙시다.,99,99.0,88.0
"I'll talk about a fully featured one later, not this scuff one we did for this.","이걸 위해 우리가 한 엉망인 것 말고, 나중에 완전한 기능을 가진 걸 이야기할게요.","나중에 완전한 기능을 갖춘 것에 관해 이야기하겠지만, 지금 한 이 어설픈 것을 사용하지는 않을 겁니다.",89,74.0,88.0
So we can use this.,그래서 우리는 이걸 사용할 수 있어요.,이걸 사용할 수 있습니다.,99,99.0,98.0
You can see how weird this looks in topology.,토폴로지에서 이게 얼마나 이상하게 보이는지 알 수 있어요.,Topology에서는 정말 이상하게 보이죠?,98,99.0,98.0
But it communicates what we want to communicate.,하지만 우리가 전달하고자 하는 것을 잘 전달해요.,하지만 우리가 전달하고자 하는 것을 잘 전달합니다.,99,99.0,98.0
"So as long as as it kind of achieve what we want to communicate, it's fine.",그래서 우리가 전달하고자 하는 것을 어느 정도 달성하기만 하면 괜찮아요.,전달하고자 하는 것을 어느 정도 달성하기만 한다면 괜찮습니다.,99,99.0,98.0
But there's a caveat here.,하지만 여기에는 주의할 점이 있어요.,하지만 여기에는 주의할 점이 있습니다.,99,99.0,98.0
There's a lot more thing.,더 많은 것이 있어요.,더 많은 것이 있습니다.,99,99.0,98.0
"As you go through the workflow, there's a lot of things that you want to consider more that you will be considering more.","워크플로우를 진행하면서, 더 고려해야 할 것들이 많이 있어요.",워크플로에 따라 진행하면서 더 고려해야 할 많은 것들이 있습니다.,99,99.0,98.0
"With all these things of defining separation, defining what do these what do these mean, how does separation matter.","이 모든 것들, 즉 분리를 정의하고, 이들이 무엇을 의미하는지, 분리가 왜 중요한지에 대해 생각해봐야 해요.","이 모든 것들, 즉 분리를 정의하고, 이것들이 무엇을 의미하는지 분리가 왜 중요한지를 고려해야 합니다.",99,99.0,98.0
The actual the effect of defining the separation.,실제로 분리를 정의하는 효과에 대해요.,실제로 분리를 정의하는 효과 말입니다.,99,99.0,98.0
"We will find this out more, once we..., once we start with the idea of, deforming this by bones.","우리는 이걸 더 알아낼 거예요, 우리가... 뼈로 이걸 변형시키는 아이디어로 시작하면요.",이것을 뼈에 따라 변형해 보면서 더 알아볼 것입니다.,74,94.0,88.0
What does that mean?,그게 무슨 뜻인가요?,그게 무슨 뜻인가요?,100,100.0,100.0
We'll talk about that later.,나중에 그에 대해 이야기할게요.,그에 대해서는 나중에 이야기하겠습니다.,94,99.0,98.0
"So deformations, once we kind of take into account these things.",그래서 변형은 우리가 이러한 것들을 고려하게 되면요.,그래서 변형은 우리가 이러한 것들을 고려할 때 발생합니다.,74,99.0,98.0
What else is actually weird but texturing.,사실 이상한 것 중 또 무엇이 있을까요? 텍스처링이요.,Texturing 외에 다른 이상한 것은 없습니다.,93,75.0,90.0
This also accounts to how do we do texturing.,이건 또한 우리가 텍스처링을 어떻게 하는지를 고려해야 해요.,Texturing 방법과도 관련이 있습니다.,98,74.0,88.0
"And, yes, we will make some mistakes and we will make some this, but we can't really be trying to plan out for the future that we don't know.","네, 우리는 실수를 할 거고, 이런 것들도 생길 거예요. 하지만 우리가 모르는 미래를 위해 계획하려고 할 수는 없어요.","실수를 할 수도 있고 이런 것들도 만들겠지만, 우리가 모르는 미래를 계획하려고 할 수는 없습니다.",99,99.0,86.0
"So with all of this, that is a very scuff hand, which you can just adjust this to be fine.","그래서 이 모든 것과 함께, 이건 아주 엉망인 손이에요. 하지만 이걸 조정해서 괜찮게 만들 수 있어요.","매우 어설픈 손이지만, 조정하면 조금 괜찮아질 수 있습니다.",69,69.0,88.0
You might have to fix this a little bit.,이걸 조금 수정해야 할 수도 있어요.,조금 수정해야 할 수도 있습니다.,99,99.0,98.0
"You might have to define this curve a little bit more and then fix the ratios of the hand of the finger and of this thumb, fix the ratio of that and fix the ratio of these fingers.","이 곡선을 좀 더 정의하고, 손과 손가락, 그리고 이 엄지의 비율을 수정해야 할 수도 있어요. 그리고 그 비율을 고치고 이 손가락들의 비율도 수정해야 해요.","이 곡선을 조금 더 정의하고, 손과 손가락, 그리고 이 엄지의 비율을 수정해야 할 수도 있습니다.",74,74.0,88.0
"But, essentially, we have our hand, at least in a very scuffed way.","하지만 본질적으로, 우리는 최소한 아주 엉망인 방식으로 손을 가지고 있어요.",그래도 손을 완성했습니다. 어설프지만요.,89,44.0,78.0
That's very scuffed hand.,그건 정말 엉망인 손이에요.,정말 어설픈 손이네요.,95,74.0,90.0
"But at the same time, it's a hand that has the topology. It has what it takes.","하지만 동시에, 토폴로지를 가진 손이에요. 필요한 요소를 다 갖추고 있어요.","하지만 동시에, 이건 Topology의 요소를 갖춘 손입니다.",98,97.0,86.0
"Wait, what is this?","잠깐만요, 이게 뭐죠?","잠깐만요, 이게 뭐죠?",100,100.0,100.0
It has what it takes to be shaped further into a better hand.,더 나은 손으로 형태를 만들 수 있는 요소를 다 갖추고 있어요.,더 나은 손이 될 수 있는 요소를 갖추고 있습니다.,74,94.0,88.0
"But you might have a question ""what is the hand that I use?"" So, yeah, that is for...","하지만 ""내가 사용하는 손은 무엇인가?""라는 질문이 있을 수 있어요. 그래서, 네, 그건...","이런 질문을 할 수도 있습니다. ""내가 사용하는 손은 무엇인가?"" 손 완성입니다.",94,74.0,88.0
"But before we end, I actually want to sneak in what does a hand that has been in a bit more iterations than this one looks like.","하지만 끝내기 전에, 실제로 이보다 더 많은 반복을 거친 손이 어떤 모습인지 살짝 보여주고 싶어요.","하지만 끝내기 전에, 실제로 이보다 더 많은 반복을 거친 손이 어떻게 생겼는지 살짝 보여드리고 싶습니다.",99,99.0,98.0
"So we're gonna go look at here, and let's just look a little bit.",그래서 여기 좀 살펴보러 갈 거예요. 잠깐만 살펴봅시다.,이걸 보세요. 잠깐만 좀 보도록 하죠.,100,74.0,88.0
"I'll ask, what are the additional features that this hand has?",이 손이 가지고 있는 추가적인 특징은 무엇인가요?,이 손에는 어떤 추가적인 기능이 있을까요?,100,74.0,88.0
It doesn't actually have a lot more features than the hand that we made.,사실 우리가 만든 손보다 더 많은 특징이 없어요.,우리가 만든 손보다 훨씬 더 많은 기능이 있는 것은 아닙니다.,100,74.0,78.0
"The main feature that it has, it just it has this...",이 손이 가지고 있는 주요 특징은 바로 이거예요...,"그것이 가진 주요 기능은, 바로 이겁니다.",99,74.0,88.0
defined transition between the thumb and the palm and also flesh.,엄지와 손바닥 사이의 정의된 전환과 또한 살이 있어요.,엄지와 손바닥 사이의 정의된 미세한 전환과 살덩이입니다.,74,74.0,78.0
"Basically, these two fleshes are the main difference between those two.","기본적으로, 이 두 개의 살이 그 두 가지의 주요 차이점이에요.",이 두 개의 살덩이가 우리가 만든 손과의 차이점입니다.,99,74.0,86.0
But also there's smaller details like this one.,하지만 이런 작은 디테일도 있어요.,"또, 이런 작은 디테일도 있습니다.",99,99.0,98.0
There's this part.,이 부위가 있어요.,이 부위가 있습니다.,99,99.0,98.0
"There's also this small, indent right here.",여기에도 작은 움푹 들어간 부분이 있어요.,여기에도 작은 움푹 들어간 부분이 있습니다.,99,99.0,98.0
"This how it transitions to the, arm.",이게 팔로 전환되는 방식이에요.,이것이 팔목으로 이어지는 방식입니다.,94,74.0,88.0
So there's a few different things about this.,그래서 이와 관련된 몇 가지 다른 것들이 있어요.,그래서 이와 관련하여 몇 가지 다른 점이 있습니다.,99,99.0,98.0
